City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,dudinka,69.4058,86.1778,16.46,73,100,9.01,RU,1691607965
150,hithadhoo,-0.6,73.0833,27.06,76,71,1.73,MV,1691608125
151,sofia,42.6975,23.3242,18.83,63,100,3.6,BG,1691608599
152,inarajan village,13.2736,144.7484,26.54,97,100,7.63,GU,1691608652
153,crane,31.3974,-102.3501,38.64,17,0,1.67,US,1691608600
154,touros,-5.1989,-35.4608,27.18,70,55,8.13,BR,1691607896
155,aras-asan,8.8908,126.3033,25.32,87,100,2.7,PH,1691608164
156,enewetak,11.3474,162.3373,28.32,77,73,6.29,MH,1691607886
157,aklera,24.4167,76.5667,24.73,82,97,4.36,IN,1691608653
158,newman,37.3138,-121.0208,30.59,23,0,1.86,US,1691608149
159,buka,40.8108,69.1986,27.61,28,0,2.14,UZ,1691608565
160,east london,-33.0153,27.9116,17.5,77,79,7.98,ZA,1691608012
161,roma,43.2128,-75.4557,27.12,56,40,7.2,US,1691607965
162,okhotsk,59.3833,143.3,11.8,78,10,0.96,RU,1691608036
163,cerro azul,21.2,-97.7333,35.81,39,1,4.58,MX,1691608654
164,rock springs,41.5875,-109.2029,23.36,35,0,7.72,US,1691608655
165,keflavik,64.0049,-22.5624,15.95,62,75,5.66,IS,1691608601
166,la junta,37.985,-103.5438,26.7,52,100,2.06,US,1691608655
167,kuta,-8.7233,115.1723,22.97,88,40,2.24,ID,1691608656
168,saint-philippe,-21.3585,55.7679,19.77,79,35,4.87,RE,1691608595
169,klyuchi,52.2667,79.1667,21.1,42,82,2.44,RU,1691608119
170,revelstoke,50.9832,-118.2023,20.01,83,100,0.0,CA,1691608656
171,cabo san lucas,22.8909,-109.9124,34.23,62,75,9.26,MX,1691608093
172,yankton,42.8711,-97.3973,27.29,61,40,0.0,US,1691608656
173,prince rupert,54.3161,-130.3201,14.05,96,100,6.17,CA,1691608646
174,arraial do cabo,-22.9661,-42.0278,22.92,73,40,7.72,BR,1691608594
175,yuzhno-kurilsk,44.0306,145.8556,19.53,100,100,4.48,RU,1691608046
176,natchitoches,31.7668,-93.1335,38.47,37,0,5.14,US,1691608634
177,chaoyang,41.5703,120.4586,20.71,75,0,1.5,CN,1691608657
178,salavan,15.7167,106.4167,23.5,92,100,1.02,LA,1691608657
179,arfoud,31.4348,-4.2375,38.48,11,100,3.58,MA,1691608658
180,bam,29.106,58.357,33.32,21,100,3.7,IR,1691608658
181,prince george,53.9166,-122.753,21.25,57,100,1.34,CA,1691608112
182,carnarvon,-24.8667,113.6333,19.51,76,44,4.68,AU,1691608111
183,mooloolaba,-26.6833,153.1167,13.36,98,78,0.45,AU,1691608658
184,klaksvik,62.2266,-6.589,10.51,74,57,9.68,FO,1691608070
185,vilyuchinsk,52.9306,158.4028,13.15,83,100,3.18,RU,1691608184
186,xincheng,33.6333,115.1833,24.54,88,39,1.52,CN,1691608659
187,acarau,-2.8856,-40.12,28.02,68,77,7.35,BR,1691608037
188,villa gesell,-37.2639,-56.973,15.03,75,100,6.49,AR,1691608107
189,haiku-pauwela,20.9219,-156.3051,26.25,67,20,8.23,US,1691608560
190,el granada,37.5027,-122.4694,28.84,71,100,5.14,US,1691608649
191,usoke,-5.1667,32.35,22.21,35,3,1.97,TZ,1691608659
192,la punta,-33.1837,-66.3127,20.23,22,100,2.25,AR,1691608660
193,santo tome,-31.6627,-60.7653,21.68,60,20,3.58,AR,1691608660
194,vila franca do campo,37.7167,-25.4333,23.23,92,99,6.17,PT,1691608567
195,tazovsky,67.4667,78.7,7.67,89,100,7.29,RU,1691608047
196,gijang,35.2442,129.2139,25.85,97,100,15.11,KR,1691608660
197,ta`u,-14.2336,-169.5144,27.05,75,9,4.84,AS,1691608223
198,siocon,7.7061,122.1353,26.19,87,100,2.02,PH,1691608661
199,tura,25.5198,90.2201,23.66,98,100,0.98,IN,1691608092
200,ulladulla,-35.35,150.4667,12.79,55,100,3.02,AU,1691608602
201,slave lake,55.2834,-114.769,15.99,88,100,4.12,CA,1691608545
202,aktau,43.65,51.2,29.32,58,0,3.01,KZ,1691608661
203,san rafael,-34.6177,-68.3301,21.16,19,98,8.26,AR,1691608177
204,guerrero negro,27.9769,-114.0611,27.37,60,12,7.27,MX,1691608133
205,mutuali,-14.8706,37.0044,17.9,66,4,1.97,MZ,1691608662
206,kapchorwa,1.3965,34.4509,14.03,85,52,2.02,UG,1691608644
207,amungan,15.3652,119.9582,26.78,85,100,0.74,PH,1691608617
208,lorengau,-2.0226,147.2712,27.56,77,100,5.69,PG,1691608662
209,mogadishu,2.0371,45.3438,24.4,86,32,7.1,SO,1691608415
210,gadzhiyevo,69.2551,33.3362,19.83,73,0,1.26,RU,1691608585
211,smithers,54.7804,-127.1743,16.18,82,75,2.57,CA,1691608132
212,mugia,43.1041,-9.2179,22.73,74,98,7.25,ES,1691607952
213,badger,64.8,-147.5333,18.62,89,100,0.0,US,1691608016
214,malango,-2.9627,119.9001,18.57,99,34,0.55,ID,1691608163
215,natchez,31.5604,-91.4032,36.81,49,40,7.72,US,1691608663
216,anadyr,64.75,177.4833,9.28,81,75,6.0,RU,1691608124
217,sumbawa besar,-8.5,117.4333,19.01,90,20,2.33,ID,1691608664
218,san luis de la loma,17.2706,-100.8939,29.86,80,100,2.7,MX,1691607990
219,barro alto,-11.7608,-41.9117,26.76,36,3,5.15,BR,1691608664
220,balabac,7.9868,117.0645,27.75,80,93,4.5,PH,1691608664
221,valdepenas,38.7621,-3.3848,36.43,18,33,5.67,ES,1691608664
222,loiza,18.4313,-65.8802,33.78,69,20,7.72,PR,1691608665
223,miquelon,47.0975,-56.3814,15.0,82,100,12.92,PM,1691608180
224,zeya,53.75,127.2667,15.13,78,23,1.37,RU,1691608134
225,paita,-5.0892,-81.1144,24.71,71,100,7.23,PE,1691608132
226,valparaiso,-33.0393,-71.6273,15.0,91,100,6.69,CL,1691608666
227,sabha,27.0377,14.4283,30.03,22,0,4.19,LY,1691608666
228,bougouni,11.417,-7.479,27.29,70,97,3.13,ML,1691608666
229,penicuik,55.8317,-3.2242,17.7,79,40,3.09,GB,1691608666
230,saint-jorioz,45.8333,6.1667,23.95,43,0,3.6,FR,1691608666
231,yeppoon,-23.1333,150.7333,13.88,90,0,4.35,AU,1691608667
232,dubti,11.7361,41.0853,26.82,66,100,10.15,ET,1691608667
233,fortuna,40.5982,-124.1573,21.07,81,75,4.12,US,1691608615
234,aykhal,66.0,111.5,14.87,56,100,2.8,RU,1691608177
235,luis correia,-2.8792,-41.6669,30.0,70,20,9.26,BR,1691608667
236,xai-xai,-25.0519,33.6442,18.61,75,0,4.19,MZ,1691608668
237,fada,9.5667,8.3,20.69,95,79,1.19,NG,1691608668
238,olonkinbyen,70.9221,-8.7187,5.86,99,100,3.88,SJ,1691608560
239,shiguai,40.7058,110.2856,24.02,47,100,2.34,CN,1691608668
240,mahina,-17.5065,-149.489,26.87,69,20,2.57,PF,1691608668
241,kyren,51.6828,102.1408,17.04,98,100,0.8,RU,1691608669
242,zabaykal'sk,49.6333,117.3167,16.92,57,82,1.55,RU,1691608669
243,palmer,42.1584,-72.3287,28.92,50,75,7.72,US,1691608093
244,gaspe,48.8334,-64.4819,16.12,100,100,7.2,CA,1691608581
245,rabo de peixe,37.8,-25.5833,22.73,94,75,3.09,PT,1691608669
246,acapulco de juarez,16.8634,-99.8901,31.9,62,100,2.57,MX,1691608000
247,radviliskis,55.8167,23.5333,11.03,93,0,2.06,LT,1691608671
248,ujae,8.9322,165.7642,28.19,74,6,4.4,MH,1691608671
249,susuman,62.7833,148.1667,4.23,96,100,1.03,RU,1691608603
250,myitkyina,25.3833,97.4,23.85,100,100,0.3,MM,1691608166
251,saint-pierre,-21.3393,55.4781,19.82,77,0,2.57,RE,1691607965
252,usinsk,65.9939,57.5281,13.84,75,100,3.1,RU,1691607886
253,kovvur,17.0167,81.7333,26.75,78,89,2.23,IN,1691608672
254,liaoyuan,42.9036,125.1358,16.81,96,59,2.2,CN,1691608672
255,chichiriviche,10.9333,-68.2772,30.63,69,4,6.8,VE,1691608672
256,kavaratti,10.5669,72.642,28.26,76,100,6.85,IN,1691608127
257,brookings,44.3114,-96.7984,27.25,60,20,2.68,US,1691608605
258,saint-joseph,-21.3667,55.6167,19.21,78,24,3.56,RE,1691608017
259,balakhta,55.38,91.6,13.04,88,12,0.95,RU,1691608673
260,nova vicosa,-17.8919,-39.3719,24.31,68,2,3.89,BR,1691608584
261,gobabis,-22.45,18.9667,15.8,26,98,5.94,NA,1691608652
262,nieuw amsterdam,5.8833,-55.0833,33.34,70,99,5.99,SR,1691608673
263,gisborne,-38.6533,178.0042,6.15,81,100,3.7,NZ,1691608413
264,nema,57.5067,50.5011,18.7,71,6,1.82,RU,1691608673
265,tianchang,37.9981,114.0156,23.65,90,6,1.34,CN,1691608674
266,diboll,31.1871,-94.781,39.56,38,0,7.72,US,1691608674
267,klodawa,52.2545,18.9135,12.9,82,100,2.43,PL,1691608674
268,calama,-22.4667,-68.9333,22.44,7,0,9.38,CL,1691608601
269,isangel,-19.55,169.2667,19.73,74,13,6.71,VU,1691608120
270,hauterive,46.0901,3.4459,25.42,63,0,2.22,FR,1691608674
271,wau,7.7029,27.9953,22.14,95,96,2.2,SS,1691608620
272,karratha,-20.7377,116.8463,20.79,58,0,2.99,AU,1691608616
273,longgang,37.6508,120.3286,24.39,86,0,4.08,CN,1691608675
274,songjianghe,42.1859,127.479,17.81,99,100,0.96,CN,1691608675
275,kamensk-ural'skiy,56.4185,61.9329,17.37,77,67,3.49,RU,1691608676
276,mount pleasant,32.7941,-79.8626,33.88,61,20,5.14,US,1691608463
277,kinkala,-4.3614,14.7644,25.29,52,11,1.95,CG,1691608676
278,cockburn town,21.4612,-71.1419,28.99,83,100,7.46,TC,1691608115
279,adelaide,-34.9333,138.6,11.85,79,0,5.14,AU,1691608421
280,angaur state,6.906,134.13,27.8,81,94,8.76,PW,1691608677
281,sosnovo-ozerskoye,52.5249,111.5418,16.35,97,100,3.9,RU,1691608613
282,pangody,65.85,74.4859,9.37,70,55,8.73,RU,1691608025
283,island harbour,50.724,-1.2758,20.17,79,0,0.45,GB,1691608677
284,tamandare,-8.7597,-35.1047,25.89,66,6,4.4,BR,1691608677
285,norfolk,42.1668,-71.2495,29.21,55,20,7.2,US,1691608502
286,sur,22.5667,59.5289,31.93,54,100,4.03,OM,1691608678
287,port macquarie,-31.4333,152.9167,6.61,88,28,3.03,AU,1691608120
288,pochaiv,50.0051,25.5118,15.82,60,97,2.64,UA,1691608678
289,thompson,55.7435,-97.8558,19.89,34,7,3.45,CA,1691608096
290,constantia,44.1833,28.65,17.61,62,0,4.67,RO,1691608566
291,ginir,7.1333,40.7,16.72,68,47,4.32,ET,1691608679
292,griffith,41.5284,-87.4237,27.19,65,0,3.6,US,1691608622
293,axim,4.8699,-2.2405,24.36,84,87,5.29,GH,1691608679
294,sarkand,45.41,79.9186,20.57,43,0,3.52,KZ,1691608679
295,guatrache,-37.6678,-63.5302,17.55,33,100,7.93,AR,1691608680
296,nikol'sk,53.7189,46.0712,21.02,51,90,3.36,RU,1691608680
